time,context-switches,cpu-cycles,duration_time,task-clock,L1-dcache-load-misses,branch-misses,instructions,page-faults,L1-icache-load-misses,LLC-load-misses,dTLB-load-misses,iTLB-load-misses,benchmark,socket,core_list
2878,344.0,1432205277.0,54606875.0,2185.11,,,,,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2933,364.0,1434674233.0,54668728.0,2185.08,,,,,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2987,329.0,1427417228.0,54577922.0,2164.2,,,,,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
3015,286.0,623180031.0,28044758.0,1108.65,,,,,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
111,,,,,2898564.0,10240602.0,2676902804.0,1140.0,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
171,,,,,2667884.0,10239688.0,2394254573.0,1039.0,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
227,,,,,2658994.0,10161558.0,2367656266.0,1069.0,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
284,,,,,2578912.0,10147760.0,2361402494.0,1023.0,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
340,,,,,2716972.0,10365959.0,2360010371.0,1027.0,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
396,,,,,2683043.0,10450766.0,2371153588.0,1049.0,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
452,,,,,3194308.0,10671992.0,2415724429.0,1776.0,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
510,,,,,3382561.0,10851710.0,2413660604.0,2554.0,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
566,,,,,2781491.0,10650564.0,2354211107.0,1039.0,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
621,,,,,2743451.0,10617395.0,2342873667.0,1025.0,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
677,,,,,2618453.0,10628892.0,2327256651.0,1028.0,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
732,,,,,2587834.0,10614187.0,2323148379.0,1030.0,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
787,,,,,2647399.0,10644240.0,2327239211.0,1050.0,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
843,,,,,2598873.0,10629347.0,2321878686.0,1049.0,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
897,,,,,2982298.0,10689853.0,2345770610.0,1547.0,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
952,,,,,2329975.0,10614636.0,2300669997.0,1028.0,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1007,,,,,2904984.0,10650016.0,2344017786.0,7976.0,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1063,,,,,2847077.0,10664224.0,2420327070.0,7146.0,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1122,,,,,2619662.0,10614736.0,2319324033.0,1026.0,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1177,,,,,2641199.0,10632149.0,2314926994.0,1153.0,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1231,,,,,2571032.0,10607163.0,2313954492.0,1028.0,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1286,,,,,2596185.0,10614919.0,2315217260.0,1022.0,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1341,,,,,2506470.0,10616122.0,2306596965.0,1027.0,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1395,,,,,2672563.0,10613426.0,2315743299.0,1030.0,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1450,,,,,2163479.0,10567701.0,2280775431.0,1024.0,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1503,,,,,3447044.0,10854410.0,2366434497.0,2587.0,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1559,,,,,4081688.0,15034417.0,3364264050.0,2224.0,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1665,,,,,3392843.0,16776523.0,3536258422.0,1026.0,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1721,,,,,5380540.0,19450090.0,4377568727.0,2111.0,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1865,,,,,5862092.0,25769026.0,5643962667.0,2052.0,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1990,,,,,4181499.0,18322658.0,3917516853.0,2045.0,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2049,,,,,3024339.0,10704236.0,2354486000.0,1023.0,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2159,,,,,2584295.0,10600158.0,2312282710.0,1022.0,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2214,,,,,2579345.0,10600007.0,2313624208.0,1024.0,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2268,,,,,2505199.0,10590895.0,2308986891.0,1027.0,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2323,,,,,2683336.0,10604042.0,2319337279.0,1023.0,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2378,,,,,2630920.0,10603195.0,2317511949.0,1077.0,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2432,,,,,2561497.0,10590005.0,2314311528.0,1022.0,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2487,,,,,2597998.0,10595776.0,2317678918.0,1022.0,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2542,,,,,2615832.0,10589668.0,2314921345.0,1024.0,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2596,,,,,2605362.0,10598032.0,2318069237.0,1024.0,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2651,,,,,2563386.0,10578598.0,2314841714.0,1023.0,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2706,,,,,2612415.0,10591286.0,2317959790.0,1023.0,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2761,,,,,2367569.0,10565618.0,2301206436.0,1024.0,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2815,,,,,2888191.0,10623547.0,2335694477.0,1022.0,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2870,,,,,2566979.0,10571734.0,2316122861.0,1023.0,452848.0,483298.0,138025.0,39666.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2925,,,,,2671320.0,10596574.0,2319484147.0,1054.0,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
2980,,,,,2564517.0,10572544.0,2316032043.0,1023.0,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
3008,,,,,1698985.0,2933648.0,811722902.0,1036.0,,,,,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
109,,,,,,,,,276773.0,158486.0,123137.0,49982.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
169,,,,,,,,,255302.0,290140.0,113790.0,40611.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
230,,,,,,,,,305908.0,263568.0,118414.0,47639.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
290,,,,,,,,,232800.0,224259.0,114118.0,48630.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
346,,,,,,,,,259921.0,218398.0,103260.0,42269.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
402,,,,,,,,,212146.0,214573.0,95836.0,37199.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
458,,,,,,,,,269076.0,223299.0,102185.0,39429.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
570,,,,,,,,,561803.0,467928.0,153521.0,44123.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
734,,,,,,,,,378080.0,390526.0,111662.0,37197.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
792,,,,,,,,,240551.0,220275.0,108969.0,41068.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
847,,,,,,,,,234303.0,221196.0,96227.0,34787.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
902,,,,,,,,,274605.0,220244.0,103861.0,40695.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
957,,,,,,,,,258081.0,219774.0,98548.0,38039.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1010,,,,,,,,,287644.0,246247.0,130258.0,49011.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1070,,,,,,,,,252949.0,252811.0,161817.0,59798.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
1130,,,,,,,,,276835.0,221319.0,119908.0,50768.0,CoMD,0,"0,2,4,6,8,10,12,14,16,18"
